Object, Count, Frequency
the, 34545, 0.06271650
and, 22227, 0.04035315
to, 16675, 0.03027349
of, 14889, 0.02703100
he, 9869, 0.01791718
in, 8979, 0.01630139
his, 7984, 0.01449496
that, 7892, 0.01432794
was, 7359, 0.01336028
with, 5663, 0.01028118
had, 5365, 0.00974017
it, 5219, 0.00947510
her, 4725, 0.00857824
not, 4676, 0.00848928
him, 4637, 0.00841848
at, 4532, 0.00822785
but, 4050, 0.00735278
as, 4024, 0.00730558
on, 4002, 0.00726564
you, 3600, 0.00653581
for, 3529, 0.00640690
she, 3423, 0.00621446
is, 3321, 0.00602928
said, 2842, 0.00515966
all, 2794, 0.00507251
from, 2694, 0.00489096
be, 2440, 0.00442982
were, 2425, 0.00440259
by, 2415, 0.00438444
what, 2331, 0.00423193
they, 2178, 0.00395416
who, 2149, 0.00390151
this, 2075, 0.00376717
one, 2072, 0.00376172
which, 2057, 0.00373449
have, 1975, 0.00358562
so, 1902, 0.00345308
prince, 1891, 0.00343311
pierre, 1796, 0.00326064
an, 1629, 0.00295745
up, 1577, 0.00286305
them, 1529, 0.00277590
or, 1524, 0.00276682
when, 1496, 0.00271599
did, 1485, 0.00269602
there, 1476, 0.00267968
been, 1476, 0.00267968
their, 1440, 0.00261432
no, 1401, 0.00254352
would, 1366, 0.00247998
now, 1333, 0.00242006
only, 1298, 0.00235652
if, 1294, 0.00234926
me, 1275, 0.00231476
are, 1270, 0.00230569
out, 1239, 0.00224941
my, 1226, 0.00222580
could, 1115, 0.00202428
natasha, 1098, 0.00199342
man, 1084, 0.00196800
will, 1067, 0.00193714
more, 1056, 0.00191717
andrew, 1047, 0.00190083
do, 1042, 0.00189175
himself, 1020, 0.00185181
about, 1011, 0.00183547
into, 1004, 0.00182276
how, 999, 0.00181369
we, 966, 0.00175377
then, 941, 0.00170839
time, 929, 0.00168660
princess, 916, 0.00166300
face, 893, 0.00162124
french, 881, 0.00159946
went, 862, 0.00156496
know, 846, 0.00153591
some, 846, 0.00153591
after, 841, 0.00152684
old, 833, 0.00151231
before, 831, 0.00150868
eyes, 827, 0.00150142
your, 811, 0.00147237
very, 803, 0.00145785
room, 771, 0.00139975
men, 771, 0.00139975
thought, 767, 0.00139249
go, 755, 0.00137070
like, 751, 0.00136344
well, 746, 0.00135436
see, 731, 0.00132713
rostov, 719, 0.00130535
began, 718, 0.00130353
moscow, 718, 0.00130353
again, 709, 0.00128719
has, 706, 0.00128174
down, 700, 0.00127085
come, 683, 0.00123999
came, 683, 0.00123999
still, 676, 0.00122728
asked, 668, 0.00121275
without, 667, 0.00121094
same, 664, 0.00120549
those, 661, 0.00120005
army, 659, 0.00119642
count, 657, 0.00119278
looked, 651, 0.00118189
say, 640, 0.00116192
nicholas, 633, 0.00114921
first, 633, 0.00114921
felt, 631, 0.00114558
our, 622, 0.00112924
where, 617, 0.00112016
mary, 615, 0.00111653
away, 614, 0.00111472
life, 611, 0.00110927
left, 611, 0.00110927
another, 607, 0.00110201
something, 601, 0.00109112
over, 599, 0.00108749
two, 594, 0.00107841
such, 591, 0.00107296
these, 590, 0.00107115
seemed, 583, 0.00105844
other, 570, 0.00103484
just, 568, 0.00103120
its, 568, 0.00103120
head, 567, 0.00102939
yes, 561, 0.00101850
little, 557, 0.00101123
day, 551, 0.00100034
am, 545, 0.00098945
long, 545, 0.00098945
why, 542, 0.00098400
hand, 539, 0.00097856
than, 533, 0.00096766
whole, 532, 0.00096585
people, 531, 0.00096403
emperor, 528, 0.00095858
don't, 528, 0.00095858
should, 522, 0.00094769
back, 519, 0.00094225
even, 510, 0.00092591
own, 502, 0.00091138
heard, 498, 0.00090412
good, 497, 0.00090230
having, 494, 0.00089686
way, 492, 0.00089323
general, 490, 0.00088960
because, 490, 0.00088960
countess, 488, 0.00088596
napoleon, 485, 0.00088052
here, 484, 0.00087870
look, 475, 0.00086236
must, 472, 0.00085692
nothing, 471, 0.00085510
can, 468, 0.00084965
any, 465, 0.00084421
always, 464, 0.00084239
saw, 463, 0.00084058
being, 463, 0.00084058
made, 461, 0.00083695
love, 456, 0.00082787
though, 456, 0.00082787
russian, 455, 0.00082605
right, 450, 0.00081698
kutuzov, 449, 0.00081516
young, 444, 0.00080608
suddenly, 432, 0.00078430
round, 431, 0.00078248
off, 430, 0.00078067
voice, 425, 0.00077159
us, 423, 0.00076796
officer, 418, 0.00075888
sonya, 417, 0.00075706
smile, 416, 0.00075525
looking, 415, 0.00075343
moment, 415, 0.00075343
everything, 414, 0.00075162
knew, 413, 0.00074980
